date,year,location,series_id,population_k,population,treated,post_katrina,log_population_k,year_centered
1995-01-01,1995,"Jefferson County, AL",ALJEFF5POP,666.106,666106.0,0,0,6.501448817035073,-10
1996-01-01,1996,"Jefferson County, AL",ALJEFF5POP,665.943,665943.0,0,0,6.5012040812921486,-9
1997-01-01,1997,"Jefferson County, AL",ALJEFF5POP,664.268,664268.0,0,0,6.498685682503861,-8
1998-01-01,1998,"Jefferson County, AL",ALJEFF5POP,664.457,664457.0,0,0,6.498970165750995,-7
1999-01-01,1999,"Jefferson County, AL",ALJEFF5POP,662.845,662845.0,0,0,6.496541177031676,-6
2000-01-01,2000,"Jefferson County, AL",ALJEFF5POP,662.285,662285.0,0,0,6.495695976887785,-5
2001-01-01,2001,"Jefferson County, AL",ALJEFF5POP,661.524,661524.0,0,0,6.4945462640760026,-4
2002-01-01,2002,"Jefferson County, AL",ALJEFF5POP,659.815,659815.0,0,0,6.491959492697931,-3
2003-01-01,2003,"Jefferson County, AL",ALJEFF5POP,660.732,660732.0,0,0,6.493348311342619,-2
2004-01-01,2004,"Jefferson County, AL",ALJEFF5POP,659.912,659912.0,0,0,6.4921064927974586,-1
2005-01-01,2005,"Jefferson County, AL",ALJEFF5POP,659.425,659425.0,0,0,6.491368243173415,0
2006-01-01,2006,"Jefferson County, AL",ALJEFF5POP,660.914,660914.0,0,1,6.493623725487028,1
2007-01-01,2007,"Jefferson County, AL",ALJEFF5POP,660.773,660773.0,0,1,6.493410361807829,2
2008-01-01,2008,"Jefferson County, AL",ALJEFF5POP,662.649,662649.0,0,1,6.496245438233268,3
2009-01-01,2009,"Jefferson County, AL",ALJEFF5POP,665.058,665058.0,0,1,6.499874254897694,4
2010-01-01,2010,"Jefferson County, AL",ALJEFF5POP,658.23,658230.0,0,1,6.489554414321968,5
2011-01-01,2011,"Jefferson County, AL",ALJEFF5POP,658.175,658175.0,0,1,6.489470853411714,6
2012-01-01,2012,"Jefferson County, AL",ALJEFF5POP,658.183,658183.0,0,1,6.4894830081598895,7
2013-01-01,2013,"Jefferson County, AL",ALJEFF5POP,659.434,659434.0,0,1,6.49138189133444,8
2014-01-01,2014,"Jefferson County, AL",ALJEFF5POP,660.185,660185.0,0,1,6.49252009877322,9
2015-01-01,2015,"Jefferson County, AL",ALJEFF5POP,660.717,660717.0,0,1,6.493325608990882,10
1995-01-01,1995,"Orleans Parish, LA",LAORLE0POP,495.018,495018.0,1,0,6.204594125543913,-10
1996-01-01,1996,"Orleans Parish, LA",LAORLE0POP,490.61,490610.0,1,0,6.195649514820894,-9
1997-01-01,1997,"Orleans Parish, LA",LAORLE0POP,488.061,488061.0,1,0,6.190440398041298,-8
1998-01-01,1998,"Orleans Parish, LA",LAORLE0POP,485.801,485801.0,1,0,6.1857990750262255,-7
1999-01-01,1999,"Orleans Parish, LA",LAORLE0POP,485.511,485511.0,1,0,6.185201944529295,-6
2000-01-01,2000,"Orleans Parish, LA",LAORLE0POP,483.77,483770.0,1,0,6.181609587158616,-5
2001-01-01,2001,"Orleans Parish, LA",LAORLE0POP,477.955,477955.0,1,0,6.169516585800381,-4
2002-01-01,2002,"Orleans Parish, LA",LAORLE0POP,472.734,472734.0,1,0,6.158532862439123,-3
2003-01-01,2003,"Orleans Parish, LA",LAORLE0POP,467.638,467638.0,1,0,6.147694492335358,-2
2004-01-01,2004,"Orleans Parish, LA",LAORLE0POP,461.702,461702.0,1,0,6.134919661320758,-1
2005-01-01,2005,"Orleans Parish, LA",LAORLE0POP,454.845,454845.0,1,0,6.1199567015727165,0
2006-01-01,2006,"Orleans Parish, LA",LAORLE0POP,208.653,208653.0,1,1,5.340672585079417,1
2007-01-01,2007,"Orleans Parish, LA",LAORLE0POP,288.113,288113.0,1,1,5.663352764293565,2
2008-01-01,2008,"Orleans Parish, LA",LAORLE0POP,336.644,336644.0,1,1,5.819025992167976,3
2009-01-01,2009,"Orleans Parish, LA",LAORLE0POP,354.883,354883.0,1,1,5.871788157688038,4
2010-01-01,2010,"Orleans Parish, LA",LAORLE0POP,347.789,347789.0,1,1,5.8515959740479735,5
2011-01-01,2011,"Orleans Parish, LA",LAORLE0POP,360.822,360822.0,1,1,5.888384761939288,6
2012-01-01,2012,"Orleans Parish, LA",LAORLE0POP,369.947,369947.0,1,1,5.913359752134734,7
2013-01-01,2013,"Orleans Parish, LA",LAORLE0POP,378.863,378863.0,1,1,5.937174662161101,8
2014-01-01,2014,"Orleans Parish, LA",LAORLE0POP,384.228,384228.0,1,1,5.951236126387938,9
2015-01-01,2015,"Orleans Parish, LA",LAORLE0POP,390.094,390094.0,1,1,5.966387735722704,10
