date,year,location,series_id,population_k,population
1970-01-01,1970,"Jefferson County, AL",ALJEFF5POP,644.991,644991.0
1971-01-01,1971,"Jefferson County, AL",ALJEFF5POP,649.8,649800.0
1972-01-01,1972,"Jefferson County, AL",ALJEFF5POP,647.1,647100.0
1973-01-01,1973,"Jefferson County, AL",ALJEFF5POP,650.6,650600.0
1974-01-01,1974,"Jefferson County, AL",ALJEFF5POP,648.8,648800.0
1975-01-01,1975,"Jefferson County, AL",ALJEFF5POP,655.3,655300.0
1976-01-01,1976,"Jefferson County, AL",ALJEFF5POP,661.3,661300.0
1977-01-01,1977,"Jefferson County, AL",ALJEFF5POP,663.6,663600.0
1978-01-01,1978,"Jefferson County, AL",ALJEFF5POP,667.4,667400.0
1979-01-01,1979,"Jefferson County, AL",ALJEFF5POP,671.7,671700.0
1980-01-01,1980,"Jefferson County, AL",ALJEFF5POP,671.371,671371.0
1981-01-01,1981,"Jefferson County, AL",ALJEFF5POP,667.79,667790.0
1982-01-01,1982,"Jefferson County, AL",ALJEFF5POP,662.404,662404.0
1983-01-01,1983,"Jefferson County, AL",ALJEFF5POP,660.835,660835.0
1984-01-01,1984,"Jefferson County, AL",ALJEFF5POP,659.571,659571.0
1985-01-01,1985,"Jefferson County, AL",ALJEFF5POP,658.988,658988.0
1986-01-01,1986,"Jefferson County, AL",ALJEFF5POP,657.905,657905.0
1987-01-01,1987,"Jefferson County, AL",ALJEFF5POP,657.665,657665.0
1988-01-01,1988,"Jefferson County, AL",ALJEFF5POP,655.628,655628.0
1989-01-01,1989,"Jefferson County, AL",ALJEFF5POP,653.4,653400.0
1990-01-01,1990,"Jefferson County, AL",ALJEFF5POP,652.239,652239.0
1991-01-01,1991,"Jefferson County, AL",ALJEFF5POP,656.878,656878.0
1992-01-01,1992,"Jefferson County, AL",ALJEFF5POP,660.713,660713.0
1993-01-01,1993,"Jefferson County, AL",ALJEFF5POP,663.178,663178.0
1994-01-01,1994,"Jefferson County, AL",ALJEFF5POP,665.429,665429.0
1995-01-01,1995,"Jefferson County, AL",ALJEFF5POP,666.106,666106.0
1996-01-01,1996,"Jefferson County, AL",ALJEFF5POP,665.943,665943.0
1997-01-01,1997,"Jefferson County, AL",ALJEFF5POP,664.268,664268.0
1998-01-01,1998,"Jefferson County, AL",ALJEFF5POP,664.457,664457.0
1999-01-01,1999,"Jefferson County, AL",ALJEFF5POP,662.845,662845.0
2000-01-01,2000,"Jefferson County, AL",ALJEFF5POP,662.285,662285.0
2001-01-01,2001,"Jefferson County, AL",ALJEFF5POP,661.524,661524.0
2002-01-01,2002,"Jefferson County, AL",ALJEFF5POP,659.815,659815.0
2003-01-01,2003,"Jefferson County, AL",ALJEFF5POP,660.732,660732.0
2004-01-01,2004,"Jefferson County, AL",ALJEFF5POP,659.912,659912.0
2005-01-01,2005,"Jefferson County, AL",ALJEFF5POP,659.425,659425.0
2006-01-01,2006,"Jefferson County, AL",ALJEFF5POP,660.914,660914.0
2007-01-01,2007,"Jefferson County, AL",ALJEFF5POP,660.773,660773.0
2008-01-01,2008,"Jefferson County, AL",ALJEFF5POP,662.649,662649.0
2009-01-01,2009,"Jefferson County, AL",ALJEFF5POP,665.058,665058.0
2010-01-01,2010,"Jefferson County, AL",ALJEFF5POP,658.23,658230.0
2011-01-01,2011,"Jefferson County, AL",ALJEFF5POP,658.175,658175.0
2012-01-01,2012,"Jefferson County, AL",ALJEFF5POP,658.183,658183.0
2013-01-01,2013,"Jefferson County, AL",ALJEFF5POP,659.434,659434.0
2014-01-01,2014,"Jefferson County, AL",ALJEFF5POP,660.185,660185.0
2015-01-01,2015,"Jefferson County, AL",ALJEFF5POP,660.717,660717.0
2016-01-01,2016,"Jefferson County, AL",ALJEFF5POP,660.507,660507.0
2017-01-01,2017,"Jefferson County, AL",ALJEFF5POP,659.892,659892.0
2018-01-01,2018,"Jefferson County, AL",ALJEFF5POP,659.672,659672.0
2019-01-01,2019,"Jefferson County, AL",ALJEFF5POP,658.539,658539.0
2020-01-01,2020,"Jefferson County, AL",ALJEFF5POP,674.72,674720.0
2021-01-01,2021,"Jefferson County, AL",ALJEFF5POP,669.782,669782.0
2022-01-01,2022,"Jefferson County, AL",ALJEFF5POP,665.691,665691.0
2023-01-01,2023,"Jefferson County, AL",ALJEFF5POP,664.419,664419.0
2024-01-01,2024,"Jefferson County, AL",ALJEFF5POP,666.585,666585.0
2025-01-01,2025,"Jefferson County, AL",ALJEFF5POP,665.742,665742.0
