date,year,location,series_id,population_k,population
1970-01-01,1970,"Orleans Parish, LA",LAORLE0POP,593.471,593471.0
1971-01-01,1971,"Orleans Parish, LA",LAORLE0POP,595.0,595000.0
1972-01-01,1972,"Orleans Parish, LA",LAORLE0POP,595.0,595000.0
1973-01-01,1973,"Orleans Parish, LA",LAORLE0POP,580.6,580600.0
1974-01-01,1974,"Orleans Parish, LA",LAORLE0POP,572.8,572800.0
1975-01-01,1975,"Orleans Parish, LA",LAORLE0POP,568.2,568200.0
1976-01-01,1976,"Orleans Parish, LA",LAORLE0POP,568.0,568000.0
1977-01-01,1977,"Orleans Parish, LA",LAORLE0POP,563.8,563800.0
1978-01-01,1978,"Orleans Parish, LA",LAORLE0POP,560.7,560700.0
1979-01-01,1979,"Orleans Parish, LA",LAORLE0POP,556.8,556800.0
1980-01-01,1980,"Orleans Parish, LA",LAORLE0POP,557.927,557927.0
1981-01-01,1981,"Orleans Parish, LA",LAORLE0POP,559.875,559875.0
1982-01-01,1982,"Orleans Parish, LA",LAORLE0POP,561.596,561596.0
1983-01-01,1983,"Orleans Parish, LA",LAORLE0POP,559.688,559688.0
1984-01-01,1984,"Orleans Parish, LA",LAORLE0POP,553.082,553082.0
1985-01-01,1985,"Orleans Parish, LA",LAORLE0POP,549.348,549348.0
1986-01-01,1986,"Orleans Parish, LA",LAORLE0POP,542.994,542994.0
1987-01-01,1987,"Orleans Parish, LA",LAORLE0POP,529.774,529774.0
1988-01-01,1988,"Orleans Parish, LA",LAORLE0POP,518.718,518717.99999999994
1989-01-01,1989,"Orleans Parish, LA",LAORLE0POP,506.903,506903.0
1990-01-01,1990,"Orleans Parish, LA",LAORLE0POP,495.744,495744.0
1991-01-01,1991,"Orleans Parish, LA",LAORLE0POP,494.767,494767.0
1992-01-01,1992,"Orleans Parish, LA",LAORLE0POP,496.006,496006.0
1993-01-01,1993,"Orleans Parish, LA",LAORLE0POP,496.468,496468.0
1994-01-01,1994,"Orleans Parish, LA",LAORLE0POP,496.092,496092.0
1995-01-01,1995,"Orleans Parish, LA",LAORLE0POP,495.018,495018.0
1996-01-01,1996,"Orleans Parish, LA",LAORLE0POP,490.61,490610.0
1997-01-01,1997,"Orleans Parish, LA",LAORLE0POP,488.061,488061.0
1998-01-01,1998,"Orleans Parish, LA",LAORLE0POP,485.801,485801.0
1999-01-01,1999,"Orleans Parish, LA",LAORLE0POP,485.511,485511.0
2000-01-01,2000,"Orleans Parish, LA",LAORLE0POP,483.77,483770.0
2001-01-01,2001,"Orleans Parish, LA",LAORLE0POP,477.955,477955.0
2002-01-01,2002,"Orleans Parish, LA",LAORLE0POP,472.734,472734.0
2003-01-01,2003,"Orleans Parish, LA",LAORLE0POP,467.638,467638.0
2004-01-01,2004,"Orleans Parish, LA",LAORLE0POP,461.702,461702.0
2005-01-01,2005,"Orleans Parish, LA",LAORLE0POP,454.845,454845.0
2006-01-01,2006,"Orleans Parish, LA",LAORLE0POP,208.653,208653.0
2007-01-01,2007,"Orleans Parish, LA",LAORLE0POP,288.113,288113.0
2008-01-01,2008,"Orleans Parish, LA",LAORLE0POP,336.644,336644.0
2009-01-01,2009,"Orleans Parish, LA",LAORLE0POP,354.883,354883.0
2010-01-01,2010,"Orleans Parish, LA",LAORLE0POP,347.789,347789.0
2011-01-01,2011,"Orleans Parish, LA",LAORLE0POP,360.822,360822.0
2012-01-01,2012,"Orleans Parish, LA",LAORLE0POP,369.947,369947.0
2013-01-01,2013,"Orleans Parish, LA",LAORLE0POP,378.863,378863.0
2014-01-01,2014,"Orleans Parish, LA",LAORLE0POP,384.228,384228.0
2015-01-01,2015,"Orleans Parish, LA",LAORLE0POP,390.094,390094.0
2016-01-01,2016,"Orleans Parish, LA",LAORLE0POP,392.265,392265.0
2017-01-01,2017,"Orleans Parish, LA",LAORLE0POP,391.819,391819.0
2018-01-01,2018,"Orleans Parish, LA",LAORLE0POP,391.506,391506.0
2019-01-01,2019,"Orleans Parish, LA",LAORLE0POP,391.172,391172.0
2020-01-01,2020,"Orleans Parish, LA",LAORLE0POP,383.361,383361.0
2021-01-01,2021,"Orleans Parish, LA",LAORLE0POP,377.506,377506.0
2022-01-01,2022,"Orleans Parish, LA",LAORLE0POP,371.038,371038.0
2023-01-01,2023,"Orleans Parish, LA",LAORLE0POP,365.782,365782.0
2024-01-01,2024,"Orleans Parish, LA",LAORLE0POP,363.477,363477.0
2025-01-01,2025,"Orleans Parish, LA",LAORLE0POP,362.154,362154.0
