year,"Jefferson County, AL","Orleans Parish, LA",gap_orleans_minus_control,event_effect_vs_2005
1995,666.106,495.018,-171.08800000000002,33.491999999999905
1996,665.943,490.61,-175.33299999999997,29.246999999999957
1997,664.268,488.061,-176.20700000000005,28.372999999999877
1998,664.457,485.801,-178.656,25.92399999999992
1999,662.845,485.511,-177.334,27.245999999999924
2000,662.285,483.77,-178.515,26.06499999999994
2001,661.524,477.955,-183.56900000000002,21.01099999999991
2002,659.815,472.734,-187.08100000000007,17.498999999999853
2003,660.732,467.638,-193.094,11.485999999999933
2004,659.912,461.702,-198.21000000000004,6.369999999999891
2005,659.425,454.845,-204.57999999999993,0.0
2006,660.914,208.653,-452.26099999999997,-247.68100000000004
2007,660.773,288.113,-372.66,-168.0800000000001
2008,662.649,336.644,-326.005,-121.42500000000007
2009,665.058,354.883,-310.175,-105.59500000000008
2010,658.23,347.789,-310.44100000000003,-105.8610000000001
2011,658.175,360.822,-297.35299999999995,-92.77300000000002
2012,658.183,369.947,-288.236,-83.65600000000006
2013,659.434,378.863,-280.57099999999997,-75.99100000000004
2014,660.185,384.228,-275.95699999999994,-71.37700000000001
2015,660.717,390.094,-270.623,-66.04300000000006
